rank1,rank2,rank3,wr_prose,wr_bullet,wr_header,ordering
header,bullet,prose,0.21323529411764705,0.375,0.9117647058823529,header > bullet > prose
header,bullet,prose,0.22794117647058823,0.3602941176470588,0.9117647058823529,header > bullet > prose
header,bullet,prose,0.24285714285714285,0.36428571428571427,0.8928571428571429,header > bullet > prose
header,bullet,prose,0.2236842105263158,0.3355263157894737,0.9407894736842105,header > bullet > prose
header,bullet,prose,0.23125,0.34375,0.925,header > bullet > prose
header,bullet,prose,0.2236842105263158,0.35526315789473684,0.9210526315789473,header > bullet > prose
header,bullet,prose,0.22972972972972974,0.36486486486486486,0.9054054054054054,header > bullet > prose
header,bullet,prose,0.2,0.375,0.925,header > bullet > prose
header,bullet,prose,0.20833333333333334,0.3680555555555556,0.9236111111111112,header > bullet > prose
header,bullet,prose,0.2,0.40714285714285714,0.8928571428571429,header > bullet > prose
header,bullet,prose,0.22435897435897437,0.358974358974359,0.9166666666666666,header > bullet > prose
header,bullet,prose,0.25,0.3475609756097561,0.9024390243902439,header > bullet > prose
header,bullet,prose,0.2,0.375,0.925,header > bullet > prose
header,bullet,prose,0.24324324324324326,0.35135135135135137,0.9054054054054054,header > bullet > prose
